Date,Profit
20180101,29
20180102,2687.531
20180103,28
20180104,24
20180105,27
20180106,25
20180107,25
20180108,28
20180109,28
20180110,28
20180111,29
20180112,28
20180113,2869.8208
20180114,33
20180115,23
20180116,23
20180117,2253.685
20180118,24
20180119,24
20180120,24
20180121,25
20180122,28
20180123,27
20180124,2547.1362
20180125,29
20180126,29
20180127,31
20180128,2853.1027
20180129,28
20180130,28
20180131,2816.4745
20180201,2231.1548
20180202,5212.004
20180203,5032.853
20180204,2253.685
20180205,23
20180206,23
20180207,2253.685
20180208,2253.685
20180209,24
20180210,25
20180211,2380.1148
20180212,27
20180213,2380.1148
20180214,28
20180215,31
20180216,3040.0076
20180217,29
20180218,29
20180219,27
20180220,28
20180221,2510.7208
20180222,5105.0587
20180223,3667.6346
20180224,2300.0488
20180225,2775.3642
20180226,2582.062
20180227,25
20180228,24
20180301,28
20180302,28
20180303,28
20180304,3021.0152
20180305,4752.09
20180306,2082.514
20180307,2042.8135
20180308,2201.6022
20180309,2246.0774
20180310,2171.757
20180311,2042.8135
20180312,23
20180313,2231.1548
20180314,2386.3525
20180315,24
20180316,24
20180317,25
20180318,25
20180319,27
20180320,27
20180321,5042.961
20180322,2176.5051
20180323,2331.9023
20180324,25
20180325,23
20180326,2519.02
20180327,4927.5968
20180328,2784.355
20180329,24
20180330,25
20180331,25
20180401,2331.9023
20180402,25
20180403,2378.3991
20180404,2142.2044
20180405,2201.6022
20180406,2231.1548
20180407,2253.685
20180408,23
20180409,23
20180410,2238.7624
20180411,23
20180412,24
20180413,23
20180414,2253.685
20180415,24
20180416,23
20180417,23
20180418,5204.7023
20180419,21
20180420,2171.757
20180421,21
20180422,21
20180423,21
20180424,21
20180425,21
20180426,23
20180427,23
20180428,52
20180429,52
20180430,52
20180501,5306.434
20180502,2121.0175
20180503,53
20180504,21
20180505,21
20180506,53
20180507,5110.658
20180508,5238.87
20180509,23
20180510,52
20180511,51
20180512,49
20180513,48
20180514,49
20180515,49
20180516,49
20180517,49
20180518,51
20180519,49
20180520,51
20180521,48
20180522,48
20180523,49
20180524,51
20180525,51
20180526,51
20180527,5005.4018
20180528,4783.079
20180529,51
20180530,5048.015
20180531,45
20180601,45
20180602,45
20180603,49
20180604,48
20180605,48
20180606,48
20180607,4743.0593
20180608,4897.9378
20180609,51
20180610,4915.3475
20180611,48
20180612,45
20180613,49
20180614,51
20180615,49
20180616,45
20180617,45
20180618,44
20180619,44
20180620,4380.1821
20180621,4517.345
20180622,48
20180623,45
20180624,45
20180625,48
20180626,4909.4689
20180627,4723.096
20180628,49
20180629,44
20180630,48
20180701,5048.015
20180702,5048.015
20180703,49
20180704,51
20180705,4980.983
20180706,5266.002
20180707,5705.7
20180708,4974.2
20180709,4681.6
20180710,4974.2
20180711,4512.5038
20180712,4915.3475
20180713,45
20180714,43
20180715,43
20180716,45
20180717,44
20180718,4384.6775
20180719,43
20180720,48
20180721,43
20180722,44
20180723,45
20180724,45
20180725,47
20180726,52
20180727,48
20180728,49
20180729,4875.1017
20180730,5048.015
20180731,45
20180801,5047.35
20180802,45
20180803,48
20180804,49
20180805,48
20180806,51
20180807,49
20180808,44
20180809,44
20180810,45
20180811,49
20180812,51
20180813,44
20180814,44
20180815,4512.5038
20180816,49
20180817,49
20180818,48
20180819,48
20180820,47
20180821,44
20180822,48
20180823,45
20180824,48
20180825,49
20180826,4620.5264
20180827,49
20180828,48
20180829,48
20180830,45
20180831,48
20180901,53
20180902,49
20180903,48
20180904,4620.5264
20180905,48
20180906,48
20180907,51
20180908,5212.004
20180909,51
20180910,49
20180911,49
20180912,51
20180913,51
20180914,52
20180915,51
20180916,52
20180917,48
20180918,49
20180919,49
20180920,53
20180921,49
20180922,49
20180923,51
20180924,51
20180925,4651.0366
20180926,5005.4018
20180927,49
20180928,21
20180929,5266.002
20180930,4792.5752
20181001,49
20181002,51
20181003,49
20181004,51
20181005,5238.87
20181006,5035.8056
20181007,52
20181008,5238.87
20181009,53
20181010,5299.784
20181011,5282.627
20181012,4907.966
20181013,4674.0988
20181014,4670.96
20181015,5032.853
20181016,2113.7557
20181017,2113.7557
20181018,2113.7557
20181019,23
20181020,21
20181021,5266.4808
20181022,53
20181023,23
20181024,24
20181025,2231.1548
20181026,24
20181027,23
20181028,2378.3991
20181029,5035.8056
20181030,52
20181031,53
20181101,53
20181102,23
20181103,21
20181104,24
20181105,24
20181106,28
20181107,27
20181108,21
20181109,52
20181110,52
20181111,21
20181112,21
20181113,21
20181114,21
20181115,24
20181116,24
20181117,2207.401
20181118,21
20181119,21
20181120,21
20181121,2502.7408
20181122,2617.3336
20181123,25
20181124,24
20181125,25
20181126,25
20181127,2231.1548
20181128,3074.3615
20181129,28
20181130,24
20181201,25
20181202,28
20181203,28
20181204,2362.7982
20181205,2300.7005
20181206,23
20181207,21
20181208,24
20181209,25
20181210,24
20181211,24
20181212,25
20181213,25
20181214,2722.8026
20181215,2510.7208
20181216,2176.5051
20181217,2494.4416
20181218,2494.4416
20181219,2784.355
20181220,29
20181221,2853.1027
20181222,31
20181223,24
20181224,2246.0774
20181225,21
20181226,21
20181227,24
20181228,25
20181229,25
20181230,29
20181231,28
20190101,3394.16
20190102,2848.78286
20190103,2932.65
20190104,2561.58
20190105,2979.2
20190106,3032.4
20190107,2956.59
20190108,3128.16
20190109,3072.3
20190110,3044.37
20190111,3511.2
20190112,3211.95
20190113,3214.199296
20190114,3657.5
20190115,2419.27
20190116,2396.66
20190117,2388.9061
20190118,2681.28
20190119,2633.4
20190120,2609.46
20190121,2628.08
20190122,3295.74
20190123,2979.2
20190124,2776.378458
20190125,3013.78
20190126,3481.94
20190127,3426.08
20190128,3224.006051
20190129,3295.74
20190130,3072.3
20190131,3126.286695
20190201,2298.089444
20190202,5993.8046
20190203,5636.79536
20190204,2614.2746
20190205,2464.49
20190206,2532.32
20190207,2411.44295
20190208,2276.22185
20190209,2872.8
20190210,2653.35
20190211,2713.330872
20190212,2952.6
20190213,2832.336612
20190214,2876.79
20190215,3089.59
20190216,3283.208208
20190217,3335.64
20190218,3189.34
20190219,2766.4
20190220,3044.37
20190221,2736.685672
20190222,5105.0587
20190223,3887.692676
20190224,2415.05124
20190225,3136.161546
20190226,3098.4744
20190227,2880.78
20190228,24
20190301,3072.3
20190302,3072.3
20190303,3267.81
20190304,3051.225352
20190305,5132.2572
20190306,2478.19166
20190307,2165.38231
20190308,2509.826508
20190309,2246.0774
20190310,2410.65027
20190311,2247.09485
20190312,2464.49
20190313,2431.958732
20190314,2529.53365
20190315,2513.7
20190316,2441.88
20190317,2577.54
20190318,2754.43
20190319,2979.2
20190320,3085.6
20190321,5547.2571
20190322,2611.80612
20190323,2705.006668
20190324,2956.59
20190325,2464.49
20190326,3022.824
20190327,5371.080512
20190328,3202.00825
20190329,2489.76
20190330,2602.81
20190331,2906.05
20190401,2448.497415
20190402,2577.54
20190403,2854.07892
20190404,2335.002796
20190405,2641.92264
20190406,2253.466348
20190407,2298.7587
20190408,2509.71
20190409,2306.22
20190410,2686.51488
20190411,2374.05
20190412,2513.7
20190413,2690.59
20190414,2501.59035
20190415,2729.16
20190416,2713.2
20190417,2487.1
20190418,6141.548714
20190419,2276.96
20190420,2519.23812
20190421,2234.4
20190422,2489.76
20190423,2404.64
20190424,21
20190425,2170.56
